 	ulcerative colitis	none	Icolonic Crohn's disease	SecondCp	ileal Crohn's disease	Crohn's disease	healthy	preCp	polyps	ulcerative colitis-PROC	FirstCp	ileal and colonic Crohn's disease with ulcerative colitis	Interim	ulcerative colitis-LS	SecondWPC	FirstWPC	ulcerative colitis-EXT	colonic Crohn's disease	PostCp	ileal Crohn's disease with ulcerative colitis
FirstCp	(0.0,0.0,0.0,0.0)	(0.0,0.0,0.0,0.0)	(1.33788176429e-07,4.22863770924e-06,0.0,0.0)	(6.53900046707e-06,0.000206677934432,0.0,0.0)	(4.29071343048e-05,0.000664333622801,0.0,0.0)	(7.31413004319e-06,0.000231177424915,0.0,0.0)	(0.0,0.0,0.0,0.0)	(0.697808818668,0.100122232417,0.611081418136,0.924612948832)	(0.765788998005,0.101143517153,0.678623364032,0.993926523315)	(0.892564303497,0.0710724382109,0.827878287477,1.03368581509)	(0.934096150236,0.0702199637743,0.871316603297,1.09278003079)	(0.932430576962,0.0744525594241,0.871316603297,1.07857880227)	(0.819532822585,0.0399534172773,0.790587766272,0.91816239916)	(0.81339439921,0.0287971505308,0.790587766272,0.890700289996)	(0.509234187624,0.212859266352,0.330387830726,0.817617592998)	(0.442979467695,0.162565113053,0.314733630484,0.754045810261)	(0.450603991817,0.165280446053,0.314733630484,0.763037377387)	(0.403272892253,0.110529741158,0.314733630484,0.653755733946)	(0.400157428601,0.10571299564,0.314733630484,0.624095806956)	(0.388723995461,0.103021717955,0.314733630484,0.599951096756)
ileal and colonic Crohn's disease with ulcerative colitis	(0.0,0.0,0.0,0.0)	(7.38196696366e-06,0.000229761855298,0.0,0.0)	(7.616847566e-06,0.000240745405931,0.0,0.0)	(0.0,0.0,0.0,0.0)	(7.26857243669e-06,0.000229737487411,0.0,0.0)	(1.49738219895e-05,0.000473277011515,0.0,0.0)	(1.76907360251e-05,0.000401423313959,0.0,0.0)	(0.698549830256,0.0996248558654,0.611081418136,0.924450907947)	(0.77014856278,0.103149865239,0.678623364032,0.993622243365)	(0.890931571456,0.064879614526,0.827878287477,1.00946700176)	(0.932430576962,0.0744525594241,0.871316603297,1.07857880227)	(1.0,0.0,1.0,1.0)	(0.856200818565,0.103185034329,0.790587766272,1.13674551869)	(0.824246557912,0.0481928781473,0.790587766272,0.98963726201)	(0.510173949422,0.210000391963,0.330387830726,0.840214067278)	(0.452853814481,0.172663617649,0.314733630484,0.788488015552)	(0.445534564813,0.169489271472,0.314733630484,0.780946096501)	(0.397664032238,0.105864405615,0.314733630484,0.6282799109)	(0.394494211613,0.107556777798,0.314733630484,0.650783981975)	(0.409591913445,0.113305036024,0.314733630484,0.653755733946)
Interim	(5.60224089636e-06,0.000177069810972,0.0,0.0)	(0.0,0.0,0.0,0.0)	(3.06142955928e-05,0.000434521284247,0.0,0.0)	(0.0,0.0,0.0,0.0)	(1.13178763197e-05,0.000250309748344,0.0,0.0)	(0.0,0.0,0.0,0.0)	(5.60224089636e-06,0.000177069810972,0.0,0.0)	(0.68322872032,0.0758531479381,0.611081418136,0.821681760541)	(0.720385143465,0.072991277824,0.655196385124,0.857453756646)	(0.812780683674,0.0282413884289,0.790587766272,0.887856666757)	(0.819532822585,0.0399534172773,0.790587766272,0.91816239916)	(0.856200818565,0.103185034329,0.790587766272,1.13674551869)	(0.863135961138,0.106345462045,0.790587766272,1.13810856385)	(0.827519431375,0.0525693329833,0.790587766272,0.989665087885)	(0.508644116163,0.211765024953,0.330387830726,0.850376339543)	(0.4415062253,0.164141338557,0.314733630484,0.754045810261)	(0.457679983384,0.173107941392,0.314733630484,0.781136502342)	(0.404458655332,0.10986280882,0.314733630484,0.628349684519)	(0.413364272713,0.111276399422,0.314733630484,0.653755733946)	(0.398318198713,0.106900574288,0.314733630484,0.6282799109)
ulcerative colitis-LS	(1.04221635884e-05,0.000329412920769,0.0,0.0)	(7.26857243669e-06,0.000229737487411,0.0,0.0)	(1.78950796083e-05,0.000565609087899,0.0,0.0)	(0.0,0.0,0.0,0.0)	(0.0,0.0,0.0,0.0)	(1.04221635884e-05,0.000329412920769,0.0,0.0)	(1.78950796083e-05,0.000565609087899,0.0,0.0)	(0.678103423807,0.0738051878645,0.611081418136,0.821665895408)	(0.719271351408,0.0729067294664,0.655196385124,0.851244444147)	(0.810809187862,0.024393973688,0.790587766272,0.882022845096)	(0.81339439921,0.0287971505308,0.790587766272,0.890700289996)	(0.824246557912,0.0481928781473,0.790587766272,0.98963726201)	(0.827519431375,0.0525693329833,0.790587766272,0.989665087885)	(1.10431875798,0.17727325814,0.925517203418,1.49821757856)	(0.604101570435,0.212711625784,0.43050035445,0.930655188905)	(0.478939067921,0.176094041328,0.314733630484,0.850591215209)	(0.482214267593,0.175856418618,0.314733630484,0.850470889404)	(0.436271024156,0.122908626254,0.314733630484,0.713233438486)	(0.429999685299,0.117140072554,0.314733630484,0.693750238549)	(0.429904796711,0.120978342492,0.314733630484,0.715644057937)
SecondWPC	(5.60224089636e-06,0.000177069810972,0.0,0.0)	(5.60224089636e-06,0.000177069810972,0.0,0.0)	(6.53900046707e-06,0.000206677934432,0.0,0.0)	(1.5255595748e-05,0.000341162649541,0.0,0.0)	(0.0,0.0,0.0,0.0)	(7.26857243669e-06,0.000229737487411,0.0,0.0)	(0.0,0.0,0.0,0.0)	(0.409360856341,0.218231073474,0.195064629847,0.784628818748)	(0.391370155371,0.215889014373,0.195064629847,0.793718230721)	(0.493988720682,0.208506261656,0.330387830726,0.814872209127)	(0.509234187624,0.212859266352,0.330387830726,0.817617592998)	(0.510173949422,0.210000391963,0.330387830726,0.840214067278)	(0.508644116163,0.211765024953,0.330387830726,0.850376339543)	(0.604101570435,0.212711625784,0.43050035445,0.930655188905)	(0.621850254778,0.214193159124,0.459053152086,0.935734478837)	(0.501241675603,0.179619778009,0.314733630484,0.882711131621)	(0.495836748896,0.182557015162,0.314733630484,0.882711131621)	(0.443142905017,0.125721075256,0.314733630484,0.733293444252)	(0.453120238333,0.132652375572,0.314733630484,0.734969622382)	(0.443762216276,0.12583841173,0.314733630484,0.718721032527)
FirstWPC	(0.0,0.0,0.0,0.0)	(1.38531305103e-05,0.000315072012811,0.0,0.0)	(0.0,0.0,0.0,0.0)	(0.0,0.0,0.0,0.0)	(0.0,0.0,0.0,0.0)	(1.2870813333e-05,0.000289916523317,0.0,0.0)	(1.49738219895e-05,0.000473277011515,0.0,0.0)	(0.370647671922,0.177956441435,0.195064629847,0.734611042924)	(0.364419983412,0.180215330412,0.195064629847,0.738391610018)	(0.446052398896,0.166170308574,0.314733630484,0.754045810261)	(0.442979467695,0.162565113053,0.314733630484,0.754045810261)	(0.452853814481,0.172663617649,0.314733630484,0.788488015552)	(0.4415062253,0.164141338557,0.314733630484,0.754045810261)	(0.478939067921,0.176094041328,0.314733630484,0.850591215209)	(0.501241675603,0.179619778009,0.314733630484,0.882711131621)	(0.762612596719,0.17260306754,0.599877333971,1.10554905301)	(0.767567479533,0.16954541852,0.599877333971,1.10529571556)	(0.636349869121,0.168216158279,0.479669000636,0.923820068197)	(0.606638208062,0.128638338586,0.479669000636,0.86279441996)	(0.599138702602,0.116189616759,0.479669000636,0.833458088825)
ulcerative colitis-EXT	(2.25106587171e-05,0.000504228597548,0.0,0.0)	(0.0,0.0,0.0,0.0)	(0.0,0.0,0.0,0.0)	(2.01849433762e-05,0.000370548667084,0.0,0.0)	(0.0,0.0,0.0,0.0)	(0.0,0.0,0.0,0.0)	(0.0,0.0,0.0,0.0)	(0.360209328754,0.177169962353,0.195064629847,0.734609615576)	(0.359552181297,0.17398851312,0.195064629847,0.734609615576)	(0.457861147453,0.16825425674,0.314733630484,0.763035950039)	(0.450603991817,0.165280446053,0.314733630484,0.763037377387)	(0.445534564813,0.169489271472,0.314733630484,0.780946096501)	(0.457679983384,0.173107941392,0.314733630484,0.781136502342)	(0.482214267593,0.175856418618,0.314733630484,0.850470889404)	(0.495836748896,0.182557015162,0.314733630484,0.882711131621)	(0.767567479533,0.16954541852,0.599877333971,1.10529571556)	(1.65082246977,0.122928900679,1.57700936769,1.97911610834)	(1.01885566162,0.0813350674437,0.958424178127,1.19257431132)	(0.7671654347,0.0899844177349,0.7045760203,0.956783895034)	(0.732388107406,0.0826801979564,0.664099167135,0.919518372336)
colonic Crohn's disease	(7.26857243669e-06,0.000229737487411,0.0,0.0)	(5.60224089636e-06,0.000177069810972,0.0,0.0)	(8.92378288205e-06,0.000282053659833,0.0,0.0)	(2.22423944262e-05,0.000554783821364,0.0,0.0)	(1.12044817927e-05,0.000250289164187,0.0,0.0)	(0.0,0.0,0.0,0.0)	(0.0,0.0,0.0,0.0)	(0.320540325617,0.122884896097,0.195064629847,0.599877333971)	(0.318025291699,0.121910109242,0.195064629847,0.590055711167)	(0.394242930802,0.104904308786,0.314733630484,0.615531534213)	(0.403272892253,0.110529741158,0.314733630484,0.653755733946)	(0.397664032238,0.105864405615,0.314733630484,0.6282799109)	(0.404458655332,0.10986280882,0.314733630484,0.628349684519)	(0.436271024156,0.122908626254,0.314733630484,0.713233438486)	(0.443142905017,0.125721075256,0.314733630484,0.733293444252)	(0.636349869121,0.168216158279,0.479669000636,0.923820068197)	(1.01885566162,0.0813350674437,0.958424178127,1.19257431132)	(1.03062889994,0.0861835420468,0.959206431643,1.20712499042)	(0.769997318887,0.0931965000103,0.7045760203,0.965756404944)	(0.737580841944,0.089844460783,0.664099167135,0.927330993403)
PostCp	(7.26857243669e-06,0.000229737487411,0.0,0.0)	(0.0,0.0,0.0,0.0)	(0.0,0.0,0.0,0.0)	(1.38531305103e-05,0.000309940504246,0.0,0.0)	(1.12044817927e-05,0.000250289164187,0.0,0.0)	(1.04221635884e-05,0.000329412920769,0.0,0.0)	(1.2870813333e-05,0.000289916523317,0.0,0.0)	(0.321973137842,0.12264299351,0.195064629847,0.590055711167)	(0.31908387462,0.124277501384,0.195064629847,0.599877333971)	(0.396873110915,0.106489875323,0.314733630484,0.6282799109)	(0.400157428601,0.10571299564,0.314733630484,0.624095806956)	(0.394494211613,0.107556777798,0.314733630484,0.650783981975)	(0.413364272713,0.111276399422,0.314733630484,0.653755733946)	(0.429999685299,0.117140072554,0.314733630484,0.693750238549)	(0.453120238333,0.132652375572,0.314733630484,0.734969622382)	(0.606638208062,0.128638338586,0.479669000636,0.86279441996)	(0.7671654347,0.0899844177349,0.7045760203,0.956783895034)	(0.769997318887,0.0931965000103,0.7045760203,0.965756404944)	(1.41910735663,0.0348753372236,1.3930173891,1.51707291321)	(1.22611354937,0.139734374692,1.12281793133,1.48119721795)
ileal Crohn's disease with ulcerative colitis	(1.76907360251e-05,0.000420955882958,0.0,0.0)	(5.60224089636e-06,0.000177069810972,0.0,0.0)	(1.20884951287e-05,0.000382080597208,0.0,0.0)	(1.77362936316e-05,0.000422262670302,0.0,0.0)	(1.93570675654e-05,0.000445633440935,0.0,0.0)	(0.0,0.0,0.0,0.0)	(1.13394526967e-07,3.58405642078e-06,0.0,0.0)	(0.314307076074,0.119547396159,0.195064629847,0.574401510924)	(0.317557400366,0.122256315094,0.195064629847,0.575320186014)	(0.399325554827,0.107368215235,0.314733630484,0.6282799109)	(0.388723995461,0.103021717955,0.314733630484,0.599951096756)	(0.409591913445,0.113305036024,0.314733630484,0.653755733946)	(0.398318198713,0.106900574288,0.314733630484,0.6282799109)	(0.429904796711,0.120978342492,0.314733630484,0.715644057937)	(0.443762216276,0.12583841173,0.314733630484,0.718721032527)	(0.599138702602,0.116189616759,0.479669000636,0.833458088825)	(0.732388107406,0.0826801979564,0.664099167135,0.919518372336)	(0.737580841944,0.089844460783,0.664099167135,0.927330993403)	(1.22611354937,0.139734374692,1.12281793133,1.48119721795)	(1.0,0.0,1.0,1.0)
