 	ulcerative colitis	none	Icolonic Crohn's disease	SecondCp	ileal Crohn's disease	Crohn's disease	healthy	preCp	polyps	ulcerative colitis-PROC	FirstCp	ileal and colonic Crohn's disease with ulcerative colitis	Interim	ulcerative colitis-LS	SecondWPC	FirstWPC	ulcerative colitis-EXT	colonic Crohn's disease	PostCp	ileal Crohn's disease with ulcerative colitis
FirstCp	(5.60224089636e-06,0.000177069810972,0.0,0.0)	(0.0,0.0,0.0,0.0)	(1.45371448734e-05,0.000333176054899,0.0,0.0)	(6.53900046707e-06,0.000206677934432,0.0,0.0)	(0.0,0.0,0.0,0.0)	(0.0,0.0,0.0,0.0)	(2.05760628859e-05,0.000505150545551,0.0,0.0)	(1.04842378754,0.152694124558,0.916622127204,1.39891418368)	(1.15965705977,0.15537624926,1.01793504605,1.48961100637)	(1.33231846212,0.104266813969,1.24093207583,1.54784979219)	(1.40006455482,0.10701427668,1.30608954956,1.63253640275)	(1.39594607055,0.107261700497,1.30608954956,1.63409176768)	(1.23019387666,0.0560920787314,1.18575600095,1.35968269895)	(1.22238326803,0.0447073420038,1.18575600095,1.34185351327)	(0.756837549932,0.31663876979,0.495490187767,1.22630212181)	(0.657741627718,0.240573640349,0.471941311416,1.14430545776)	(0.669781191674,0.251258750406,0.471941311416,1.14777871008)	(0.597874276641,0.162354690944,0.471941311416,0.923207447503)	(0.599765849443,0.163140858538,0.471941311416,0.923205742997)	(0.599045194573,0.163955363762,0.471941311416,0.942149941435)
ileal and colonic Crohn's disease with ulcerative colitis	(8.93490397702e-06,0.000282405163851,0.0,0.0)	(0.0,0.0,0.0,0.0)	(8.93490397702e-06,0.000282405163851,0.0,0.0)	(9.96277876073e-06,0.000314893162318,0.0,0.0)	(0.0,0.0,0.0,0.0)	(5.60224089636e-06,0.000177069810972,0.0,0.0)	(1.45371448734e-05,0.000333176054899,0.0,0.0)	(1.05466650801,0.152241284554,0.916622127204,1.39891418368)	(1.15384202616,0.152895153791,1.01793504605,1.50871131549)	(1.33604669931,0.0974666413854,1.24093207583,1.52721753431)	(1.39594607055,0.107261700497,1.30608954956,1.63409176768)	(1.0,0.0,1.0,1.0)	(1.28721101366,0.156110374512,1.18575600095,1.70676200042)	(1.24619034699,0.0844104102649,1.18575600095,1.53291709141)	(0.748080187271,0.312506971361,0.495490187767,1.26207154764)	(0.68490295102,0.253969053562,0.471941311416,1.17138468035)	(0.685684405715,0.250981207394,0.471941311416,1.14819338251)	(0.604874312731,0.16142197862,0.471941311416,0.93573309293)	(0.606714577988,0.164967455204,0.471941311416,1.04046622351)	(0.605615889929,0.161287612817,0.471941311416,0.938442839568)
Interim	(0.0,0.0,0.0,0.0)	(0.0,0.0,0.0,0.0)	(5.60224089636e-06,0.000177069810972,0.0,0.0)	(1.21412413634e-05,0.000272022463093,0.0,0.0)	(9.02601919002e-06,0.000285285038858,0.0,0.0)	(0.0,0.0,0.0,0.0)	(2.34720488504e-05,0.000436462122229,0.0,0.0)	(1.01347480027,0.107828063932,0.916622127204,1.21025933141)	(1.08363499974,0.110115957752,0.982794577686,1.28605394304)	(1.21742763751,0.0402845636973,1.18575600095,1.32329172461)	(1.23019387666,0.0560920787314,1.18575600095,1.35968269895)	(1.28721101366,0.156110374512,1.18575600095,1.70676200042)	(1.28977049683,0.160845447664,1.18575600095,1.70676770093)	(1.2454525683,0.0825447043687,1.18575600095,1.53291709141)	(0.75901540004,0.319289035408,0.495490187767,1.26209936299)	(0.671261228379,0.252577346536,0.471941311416,1.14813771593)	(0.672407972714,0.253041927275,0.471941311416,1.13097715707)	(0.602211175414,0.160916641842,0.471941311416,0.942419866349)	(0.595845258388,0.157682181979,0.471941311416,0.942419866349)	(0.602475455021,0.164030233608,0.471941311416,0.942419866349)
ulcerative colitis-LS	(0.0,0.0,0.0,0.0)	(0.0,0.0,0.0,0.0)	(1.46282600864e-05,0.000335619039219,0.0,0.0)	(6.53900046707e-06,0.000206677934432,0.0,0.0)	(5.60224089636e-06,0.000177069810972,0.0,0.0)	(1.04221635884e-05,0.000329412920769,0.0,0.0)	(5.60224089636e-06,0.000177069810972,0.0,0.0)	(1.01733438732,0.109575009995,0.916622127204,1.232596604)	(1.08195495175,0.108315762966,0.982794577686,1.27832432723)	(1.21401319245,0.0355978918861,1.18575600095,1.31157616044)	(1.22238326803,0.0447073420038,1.18575600095,1.34185351327)	(1.24619034699,0.0844104102649,1.18575600095,1.53291709141)	(1.2454525683,0.0825447043687,1.18575600095,1.53291709141)	(1.64827004836,0.265513176338,1.38474075204,2.2458819769)	(0.902738326988,0.314571328977,0.645509799851,1.37637558394)	(0.727006635462,0.272429906615,0.471941311416,1.28099676915)	(0.732660956439,0.272902606046,0.471941311416,1.2837139006)	(0.656699788024,0.179206544155,0.471941311416,1.07322678243)	(0.650238967018,0.178775525309,0.471941311416,1.07322535508)	(0.645848559642,0.184271957375,0.471941311416,1.07322535508)
SecondWPC	(2.4168599109e-05,0.000450997119336,0.0,0.0)	(0.0,0.0,0.0,0.0)	(0.0,0.0,0.0,0.0)	(0.0,0.0,0.0,0.0)	(0.0,0.0,0.0,0.0)	(1.37548266691e-05,0.000434748273647,0.0,0.0)	(5.60224089636e-06,0.000177069810972,0.0,0.0)	(0.591318999282,0.320551905919,0.292596944771,1.14499182017)	(0.612418171866,0.329189766913,0.292596944771,1.18589602578)	(0.74340903012,0.313212740251,0.495490187767,1.22641595867)	(0.756837549932,0.31663876979,0.495490187767,1.22630212181)	(0.748080187271,0.312506971361,0.495490187767,1.26207154764)	(0.75901540004,0.319289035408,0.495490187767,1.26209936299)	(0.902738326988,0.314571328977,0.645509799851,1.37637558394)	(0.953053806814,0.32964164701,0.688101488053,1.45284402088)	(0.721384597634,0.266160091338,0.471941311416,1.31791689304)	(0.731483999923,0.276258151449,0.471941311416,1.32358845735)	(0.663060109352,0.196100224227,0.471941311416,1.09936438113)	(0.664125592023,0.195937589896,0.471941311416,1.09956597862)	(0.670974040692,0.192083211546,0.471941311416,1.11581704328)
FirstWPC	(2.62362516134e-05,0.000486707018743,0.0,0.0)	(1.05007461749e-05,0.000331896677537,0.0,0.0)	(0.0,0.0,0.0,0.0)	(0.0,0.0,0.0,0.0)	(1.60244044848e-05,0.000373831265928,0.0,0.0)	(1.60244044848e-05,0.000373831265928,0.0,0.0)	(0.0,0.0,0.0,0.0)	(0.549533032111,0.269551426186,0.292596944771,1.10189711385)	(0.549736714176,0.266008587514,0.292596944771,1.10742828072)	(0.661386328438,0.24696379453,0.471941311416,1.13103452815)	(0.657741627718,0.240573640349,0.471941311416,1.14430545776)	(0.68490295102,0.253969053562,0.471941311416,1.17138468035)	(0.671261228379,0.252577346536,0.471941311416,1.14813771593)	(0.727006635462,0.272429906615,0.471941311416,1.28099676915)	(0.721384597634,0.266160091338,0.471941311416,1.31791689304)	(1.16105718759,0.261197963274,0.899656866646,1.65807522182)	(1.16050086034,0.261946005066,0.899656866646,1.67062683787)	(0.949878443379,0.252066080368,0.719344366645,1.384874171)	(0.903293900369,0.189772904225,0.719344366645,1.25594618759)	(0.885086647022,0.164819884919,0.719344366645,1.21184002977)
ulcerative colitis-EXT	(0.0,0.0,0.0,0.0)	(0.0,0.0,0.0,0.0)	(0.0,0.0,0.0,0.0)	(0.0,0.0,0.0,0.0)	(2.44999236341e-05,0.000458120427963,0.0,0.0)	(1.93570675654e-05,0.000469260763001,0.0,0.0)	(2.06016109541e-05,0.000651154319289,0.0,0.0)	(0.567370361815,0.266066169235,0.292596944771,1.10175528906)	(0.555729848795,0.272811054093,0.292596944771,1.12530416541)	(0.673608937552,0.253906991006,0.471941311416,1.14777871008)	(0.669781191674,0.251258750406,0.471941311416,1.14777871008)	(0.685684405715,0.250981207394,0.471941311416,1.14819338251)	(0.672407972714,0.253041927275,0.471941311416,1.13097715707)	(0.732660956439,0.272902606046,0.471941311416,1.2837139006)	(0.731483999923,0.276258151449,0.471941311416,1.32358845735)	(1.16050086034,0.261946005066,0.899656866646,1.67062683787)	(2.48298159434,0.198272790281,2.36261246828,2.96633145734)	(1.52397706253,0.123062230838,1.43247823218,1.78410406593)	(1.15441363575,0.134602557766,1.05681116515,1.43497219329)	(1.09148906423,0.134861883296,0.975857458821,1.39086312121)
colonic Crohn's disease	(2.05760628859e-05,0.000505150545551,0.0,0.0)	(1.13394526967e-07,3.58405642078e-06,0.0,0.0)	(0.0,0.0,0.0,0.0)	(0.0,0.0,0.0,0.0)	(5.60224089636e-06,0.000177069810972,0.0,0.0)	(1.97719775263e-05,0.000624932127678,0.0,0.0)	(0.0,0.0,0.0,0.0)	(0.464195509465,0.180433553927,0.292596944771,0.862977990063)	(0.471092371318,0.18608647398,0.292596944771,0.899656866646)	(0.607524437665,0.163183779442,0.471941311416,0.942149941435)	(0.597874276641,0.162354690944,0.471941311416,0.923207447503)	(0.604874312731,0.16142197862,0.471941311416,0.93573309293)	(0.602211175414,0.160916641842,0.471941311416,0.942419866349)	(0.656699788024,0.179206544155,0.471941311416,1.07322678243)	(0.663060109352,0.196100224227,0.471941311416,1.09936438113)	(0.949878443379,0.252066080368,0.719344366645,1.384874171)	(1.52397706253,0.123062230838,1.43247823218,1.78410406593)	(1.53384218786,0.127629327346,1.4332604857,1.79385164133)	(1.1513361088,0.134051196549,1.05681116515,1.43508632601)	(1.09772465823,0.142774776841,0.975857458821,1.39089541299)
PostCp	(5.60224089636e-06,0.000177069810972,0.0,0.0)	(5.60224089636e-06,0.000177069810972,0.0,0.0)	(0.0,0.0,0.0,0.0)	(1.93570675654e-05,0.000469260763001,0.0,0.0)	(9.06869215345e-06,0.000282432588731,0.0,0.0)	(0.0,0.0,0.0,0.0)	(0.0,0.0,0.0,0.0)	(0.466739860081,0.179621572647,0.292596944771,0.884992008428)	(0.473013765118,0.180435674944,0.292596944771,0.862413528054)	(0.60670770215,0.16330326306,0.471941311416,0.942156689558)	(0.599765849443,0.163140858538,0.471941311416,0.923205742997)	(0.606714577988,0.164967455204,0.471941311416,1.04046622351)	(0.595845258388,0.157682181979,0.471941311416,0.942419866349)	(0.650238967018,0.178775525309,0.471941311416,1.07322535508)	(0.664125592023,0.195937589896,0.471941311416,1.09956597862)	(0.903293900369,0.189772904225,0.719344366645,1.25594618759)	(1.15441363575,0.134602557766,1.05681116515,1.43497219329)	(1.1513361088,0.134051196549,1.05681116515,1.43508632601)	(2.1300123365,0.0541868105761,2.08947321835,2.28088527238)	(1.84105345693,0.226879524195,1.66393560512,2.23147150421)
ileal Crohn's disease with ulcerative colitis	(6.53900046707e-06,0.000206677934432,0.0,0.0)	(1.13394526967e-07,3.58405642078e-06,0.0,0.0)	(5.60224089636e-06,0.000177069810972,0.0,0.0)	(2.76151458075e-05,0.000449684198245,0.0,0.0)	(1.04221635884e-05,0.000329412920769,0.0,0.0)	(5.60224089636e-06,0.000177069810972,0.0,0.0)	(5.60224089636e-06,0.000177069810972,0.0,0.0)	(0.485075594585,0.187339275793,0.292596944771,0.884992008428)	(0.475154164213,0.180168773845,0.292596944771,0.884993435776)	(0.589767442203,0.156283120976,0.471941311416,0.923205742997)	(0.599045194573,0.163955363762,0.471941311416,0.942149941435)	(0.605615889929,0.161287612817,0.471941311416,0.938442839568)	(0.602475455021,0.164030233608,0.471941311416,0.942419866349)	(0.645848559642,0.184271957375,0.471941311416,1.07322535508)	(0.670974040692,0.192083211546,0.471941311416,1.11581704328)	(0.885086647022,0.164819884919,0.719344366645,1.21184002977)	(1.09148906423,0.134861883296,0.975857458821,1.39086312121)	(1.09772465823,0.142774776841,0.975857458821,1.39089541299)	(1.84105345693,0.226879524195,1.66393560512,2.23147150421)	(1.0,0.0,1.0,1.0)
